order_number,location_id
ORD-161859,7
ORD-161860,11
ORD-161861,11
ORD-161862,14
ORD-161863,20
ORD-161864,7
ORD-161865,198
ORD-161866,3
ORD-161867,14
ORD-161868,1
ORD-161869,13
ORD-161870,8
ORD-161871,55
ORD-161872,19
ORD-161873,1
ORD-161874,14
ORD-161875,78
ORD-161876,20
ORD-161877,3
ORD-161878,71
ORD-161879,71
ORD-161880,11
ORD-161881,11
ORD-161882,7
ORD-161883,3
ORD-161884,11
ORD-161885,71
ORD-161886,8
ORD-161887,19
ORD-161888,12
ORD-161889,8
ORD-161890,1
ORD-161891,204
ORD-161892,204
ORD-161893,204
ORD-161894,11
ORD-161895,71
ORD-161896,7
ORD-161897,71
ORD-161898,204
ORD-161899,204
ORD-161900,204
ORD-161901,204
ORD-161902,204
ORD-161905,7
ORD-161906,204
ORD-161907,204
ORD-161908,204
ORD-161909,1
ORD-161910,1
ORD-161911,1
ORD-161912,1
ORD-161913,76
ORD-161914,3
ORD-161915,20
ORD-161916,204
ORD-161917,204
ORD-161918,19
ORD-161919,2
ORD-161920,7
ORD-161921,31
ORD-161922,204
ORD-161923,204
ORD-161924,204
ORD-161925,204
ORD-161926,11
ORD-161927,11
ORD-161928,11
ORD-161929,83
ORD-161930,4
ORD-161931,15
ORD-161932,13
ORD-161933,3
ORD-161934,7
ORD-161935,7
ORD-161936,19
ORD-161937,204
ORD-161938,204
ORD-161939,11
ORD-161940,8
ORD-161941,204
ORD-161942,1
ORD-161943,70
ORD-161944,13
ORD-161945,3
ORD-161946,7
ORD-161947,8
ORD-161948,71
ORD-161949,1
ORD-161950,3
ORD-161951,204
ORD-161952,204
ORD-161953,204
ORD-161954,204
ORD-161955,204
ORD-161956,204
ORD-161957,4
ORD-161958,1
ORD-161959,7
ORD-161960,11
ORD-161961,13
ORD-161962,8
ORD-161963,204
ORD-161964,204
ORD-161965,8
ORD-161966,7
ORD-161967,19
ORD-161968,13
ORD-161969,11
ORD-161970,71
ORD-161971,198
ORD-161972,204
ORD-161973,19
ORD-161974,17
ORD-161975,19
ORD-161976,15
ORD-161977,204
ORD-161978,204
ORD-161979,195
ORD-161980,1
ORD-161981,11
ORD-161982,13
ORD-161983,198
ORD-161984,198
ORD-161985,198
ORD-161986,20
ORD-161987,13
ORD-161988,198
ORD-161989,198
ORD-161990,11
ORD-161991,11
ORD-161992,3
ORD-161993,17
ORD-161994,7
ORD-161995,13
ORD-161996,11
ORD-161997,198
ORD-161998,13
ORD-161999,198
ORD-162000,69
ORD-162001,83
ORD-162002,19
ORD-162003,19
ORD-162004,204
ORD-162005,14
ORD-162006,204
ORD-162007,204
ORD-162008,204
ORD-162009,15
ORD-162010,1
ORD-162011,209
ORD-162012,209
ORD-162013,209
ORD-162014,209
ORD-162015,209
ORD-162016,14
ORD-162017,198
ORD-162018,19
ORD-162019,70
ORD-162020,8
ORD-162021,14
ORD-162022,11
ORD-162023,11
ORD-162024,11
ORD-162025,14
ORD-162026,8
ORD-162027,19
ORD-162028,13
ORD-162029,8
ORD-162030,14
ORD-162031,20
ORD-162032,3
ORD-162033,14
ORD-162034,70
ORD-162035,20
ORD-162036,23
ORD-162037,14
ORD-162038,17
ORD-162039,14
ORD-162040,14
ORD-162041,8
ORD-162042,148
ORD-162043,11
ORD-162044,204
ORD-162045,204
ORD-162046,204
ORD-162047,1
ORD-162048,4
ORD-162049,11
ORD-162050,198
ORD-162051,1
ORD-162052,11
ORD-162053,11
ORD-162054,19
ORD-162055,1
ORD-162056,19
ORD-162057,8
ORD-162058,11
ORD-162059,11
ORD-162060,1
ORD-162061,11
ORD-162062,11
ORD-162063,71
ORD-162064,11
ORD-162065,14
ORD-162066,11
ORD-162067,13
ORD-162068,130
ORD-162069,11
ORD-162070,19
ORD-162071,7
ORD-162072,14
ORD-162073,13
ORD-162074,19
ORD-162075,1
ORD-162076,20
ORD-162077,2
ORD-162078,7
ORD-162079,19
ORD-162080,11
ORD-162081,7
ORD-162082,70
ORD-162083,7
ORD-162084,19
ORD-162085,14
ORD-162086,19
ORD-162087,20
ORD-162088,1
ORD-162089,19
ORD-162090,11
ORD-162091,11
ORD-162092,73
ORD-162093,7
